Location,Cases, per 100K people,Deaths, per 100K people
United States,"13,783,886","4,213","272,009",83
India,"9,499,413",702,"138,122",10
Brazil,"6,386,787","3,049","173,817",83
Russia,"2,327,105","1,611","40,630",28
France,"2,221,535","3,316","52,383",78
Spain,"1,665,775","3,565","45,784",98
United Kingdom,"1,659,256","2,496","59,699",90
Italy,"1,641,610","2,716","57,045",94
Argentina,"1,432,570","3,220","38,928",87
Colombia,"1,324,792","2,668","36,934",74
Mexico,"1,122,362",889,"106,765",85
Germany,"1,105,020","1,333","17,411",21
Poland,"1,013,747","2,669","18,208",48
Iran,"989,572","1,210","48,990",60
Peru,"963,605","3,012","35,966",112
South Africa,"792,299","1,371","21,644",37
Ukraine,"778,560","1,745","13,140",29
Turkey,"700,880",851,"14,129",17
Belgium,"579,212","5,071","16,786",147
Iraq,"556,728","1,449","12,340",32
Chile,"553,898","2,957","15,438",82
Indonesia,"549,508",205,"17,199",6
Netherlands,"532,444","3,090","9,504",55
Czech Republic,"530,883","4,996","8,507",80
Romania,"484,550","2,488","11,665",60
Bangladesh,"469,423",291,"6,713",4
Philippines,"434,357",407,"8,436",8
Pakistan,"403,311",190,"8,166",4
Canada,"389,771","1,052","12,285",33
Morocco,"364,190","1,011","5,985",17
Saudi Arabia,"357,872","1,062","5,919",18
Israel,"338,748","3,813","2,881",32
Switzerland,"335,660","3,941","4,991",59
Portugal,"303,846","2,955","4,645",45
Austria,"289,461","3,272","3,446",39
Sweden,"266,158","2,614","6,972",68
Nepal,"236,246",841,"1,538",5
Jordan,"227,208","2,282","2,854",29
Hungary,"225,209","2,305","5,142",53
Ecuador,"193,673","1,134","13,501",79
Serbia,"191,356","2,741","1,704",24
Kazakhstan,"175,565",961,"2,434",13
United Arab Emirates,"171,434","1,780",580,6
Panama,"167,311","4,006","3,098",74
Japan,"153,403",121,"2,137",2
Bulgaria,"148,775","2,118","4,188",60
Dominican Republic,"145,197","1,366","2,334",22
Bolivia,"144,810","1,276","8,963",79
Georgia,"143,376","3,843","1,342",36
Kuwait,"143,260","3,463",882,21
Costa Rica,"140,172","2,804","1,731",35
Belarus,"139,908","1,475","1,174",12
Qatar,"139,256","5,006",239,9
Armenia,"137,231","4,649","2,228",75
Croatia,"134,881","3,298","1,916",47
Azerbaijan,"129,544","1,303","1,470",15
Lebanon,"129,455","1,890","1,033",15
Oman,"124,145","2,571","1,430",30
Guatemala,"123,460",716,"4,191",24
Egypt,"116,303",118,"6,666",7
Ethiopia,"110,984",102,"1,715",2
Moldova,"110,580","3,119","2,343",66
Greece,"109,655","1,022","2,606",24
Slovakia,"109,226","2,005",898,16
Honduras,"108,253","1,129","2,918",30
Venezuela,"102,621",355,901,3
Tunisia,"98,072",848,"3,311",29
Myanmar,"93,600",174,"1,998",4
Bosnia–Herzegovina,"90,378","2,719","2,773",83
West Bank + Gaza,"90,192","1,974",763,17
Bahrain,"87,137","5,552",341,22
Mainland China,"86,551",6,"4,634",< 1
Kenya,"85,130",166,"1,484",3
Algeria,"84,152",199,"2,447",6
Libya,"84,087","1,259","1,200",18
Denmark,"83,535","1,441",852,15
Paraguay,"83,479","1,200","1,771",25
Slovenia,"79,566","3,849","1,547",75
Kyrgyzstan,"73,513","1,164","1,277",20
Uzbekistan,"73,335",223,611,2
